subawardee_uei,subawardee_name,entity_url,company_linkedin_url
SNBQWJK6NTK5,COLEMAN ENGINEERING COMPANY,www.coleman-engineering.com,https://linkedin.com/company/coleman-engineering-company
SNCKMPABPLM3,"KORD TECHNOLOGIES, LLC",https://solutions.kbr.com/high-energy-laser-solutions/,
SNCVNKHQRGQ3,"RELIANCE FIRE PROTECTION, INC.",www.reliancefire.com,https://linkedin.com/company/reliance-fire-protection
SNDNH5V5NQU5,TECHPARADIGM INC.,https://techparadigm.com,https://linkedin.com/company/techparadigm
SNEWJ7XUMYN6,TUNLAW INDUSTRIES LLC,https://www.tunlawindustries.com,https://linkedin.com/company/tunlawindustries
SNFUGKA2UQJ8,"HALLPAX, LLC",https://www.hallpax.com,https://linkedin.com/company/hallpax
SNJ2J544HC66,ENTERPRISE SOLUTIONS & MANAGEMENT CORPORATION,https://www.esmcorp.net,https://linkedin.com/company/enterprise-solutions-and-management
SNJ8YY61GB95,TEXTRON SYSTEMS CORPORATION,,
SNLXFWJAKGB4,BRONSON & BRATTON INC,http://www.brons.com,
SNQTWT9TNGQ6,EXPRESS LOGISTICS GROUP LIMITED,,
SNR6WHNBSGC7,HPI FEDERAL LLC,www.hp.com,https://linkedin.com/company/hp
SNRQGNKX6F97,ALAMILLO LAW A PROFESSIONAL LAW CORP,,
SNXLPL1891E6,"PATUXENT ROOFING AND CONTRACTING, LLC",https://paxservicesgroup.com/,https://linkedin.com/company/pax-services-group
SNZ4YY1YMCA3,"NOOR AI-AQMAAR FOR FOREIGN, ARABIC & IRAQI LABOR EMPLOYMENT CO.LTD.",,
SNZEAMGH7LR8,"RB CONTINUUM, INC.",http://www.rbci.com,https://linkedin.com/company/rbci-about
SP18DJ387LP9,"RAVENSWOOD SOLUTIONS, INC.",https://www.ravenswoodsolutions.com/,https://linkedin.com/company/ravenswood-solutions
SP18JXNFSKK4,"ROCKWELL LASER INDUSTRIES, INC.",http://www.rli.com,https://linkedin.com/company/rockwell-laser-industries
SP1LLGZJUGW3,SOL ORIENS LLC,http://www.soloriensllc.com,https://linkedin.com/company/sol-oriens-llc
SP24E5ZCT7K6,"DP GEORGE & COMPANY, LLC",http://www.dpgeorge.com,https://linkedin.com/company/dp-george-&-company
SP28C1V412X9,AMAN TECHNOLOGIES INC,https://www.amantechnologiesinc.com,https://linkedin.com/company/amantechnologiesinc
SP3QV7HE24K4,"CATHOLIC CHARITIES OF THE ARCHDIOCESE OF ATLANTA, INC.",,
SP3RBK24XSR1,"MCNEILUS TRUCK & MANUFACTURING, INC.",,
SP3XF3BGBSB3,NIKON INSTRUMENTS INC,https://www.microscope.healthcare.nikon.com/,https://linkedin.com/company/nikon-instruments-inc-
SP5CXJT5KT55,BLT CONTRACTING INC,,
SP9GU1SHDKJ3,LEE & ASSOCIATES INC,http://www.leeandassociatesinc.com,https://linkedin.com/company/lee-associates-inc.
SPBYMKW24AC6,"IMMERSIVE DISPLAY SOLUTIONS, INC",http://www.immersivedisplayinc.com,https://linkedin.com/company/immersive-display-solutions-inc
SPCYFMTEXKA1,"GARY'S PLUMBING AND FIRE, INC",https://garysplumbingandfire.com/,
SPCZSL7UHRL3,"ODYSSEY SPACE RESEARCH, L.L.C.",http://www.odysseysr.com,https://linkedin.com/company/odyssey-space-research-llc
SPE2YDWHDYU4,UTAH STATE UNIVERSITY,www.usu.edu,https://linkedin.com/company/utah-state-university
SPFJTNC3UD34,BRITT TOOL INC,www.brittaero.com,https://linkedin.com/company/britt-aero
SPNAAKATN9W8,"MAGNO INTERNATIONAL, L.P.",http://www.magnointl.com/,https://linkedin.com/company/magno-international
SPPLL7ZNJY88,"SOCIAL WEATHER STATIONS, INCORPORATED",https://www.sws.org.ph,https://linkedin.com/company/social-weather-stations
SPQNKZ5BN4E9,PLANETARY SYSTEMS CORP,www.rocketlabcorp.com,https://linkedin.com/company/rocket-lab-corp
SPVKK1RC2MZ3,THE REGENTS OF THE UNIVERSITY OF COLORADO,,
SPW3DGC1DQZ6,"XELEVATE, LLC",www.xelevateus.com,https://linkedin.com/company/xelevateus
SPYNNM1561X3,LONGLEAF SOFTWARE LLC,,
SQBCJTM5CLG8,ATLANTIC TRANSFER & STORAGE CO.,www.ATSWorldPackaging.com,https://linkedin.com/company/ats-world-packaging
SQCUEK75FH96,"ARANGODB, INC",www.arangodb.com,
SQFEBDMFA9N6,NDEPTH SECURITY LLC,https://www.ndepthsecurity.com,https://linkedin.com/company/ndepthsecurity
SQFLN3EL4YB4,"KERN STATISTICAL SERVICES, INC",,
SQG3Z7A9MAS1,BRADLEY KOHL MSW INC,,
SQJ8YKE5HDV7,"O&M HALYARD, INC",www.HalyardHealth.com,https://linkedin.com/company/halyard-health
SQKZFJJ41SQ3,TELCOBUY.COM LLC,,
SQLGQDFWBJ51,TIER 1 PERFORMANCE SOLUTIONS LLC,http://www.tier1performance.com,https://linkedin.com/company/tier-1-performance-solutions
SQLLB6BQ98V4,"RALC, INC",www.cnc-mfg.com,https://linkedin.com/company/cnc-manufacturing-inc.
SQLYV961MRY1,TETRAD DIGITAL INTEGRITY LLC,http://www.tdisecurity.com,https://linkedin.com/company/tetrad-digital-integrity-llc-tdi
SQMPQP76J9P1,"TYONEK MACHINING AND FABRICATION, LLC",www.tyonek.com,https://linkedin.com/company/tyonek-native-corp
SQPFZEBNMWL1,"TORQUE TOOLS, INC.",www.torquetoolsinc.com,https://linkedin.com/company/torque-tools-inc-
SQQXANCRAYA1,ONYX LLC,www.onyxdefense.com,https://linkedin.com/company/onyx-defense
SQRFM5B811R7,"CERTAINTECH, INC.",http://www.certaintech.com,https://linkedin.com/company/certaintech-inc
SQS5Y9JLU6R6,GRAY DIGITAL LLC,www.gray.digital,https://linkedin.com/company/graydigital
SQY9HGZMKZT6,"FOX WORKS RESTORATION COMPANY, INC.",,
SQYEBB63EBA6,CG CONSTRUCTION,,
SR1VTP3MV515,LINCOLN TOOL & MACHINE CORP,http://www.lincolntool.com,https://linkedin.com/company/lincoln-tool-&-machine-corp-
SR3LHBBRZ6Q1,CENTRAL PRECISION INC,https://centralprecision.com/,https://linkedin.com/company/central-precision-inc.
SRAYE6X6EAL8,"TELEDYNE DIGITAL IMAGING US, INC.",https://www.princetoninstruments.com/,https://linkedin.com/company/princeton-instruments
SRB4DQGC2BB1,"OBSIDIAN GLOBAL, LLC",www.obsidian.global,https://linkedin.com/company/obsidian-global-llc
SRBCX24F2M53,RAYSECUR INC,www.raysecur.com,https://linkedin.com/company/raysecur
SRBEE44LEE26,"RUEN-YEAGER & ASSOCIATES, INC., P.A.",,
SRBWBSTNXGL7,"Q-PAR ANTENNAS USA, LLC",www.qparusa.com,https://linkedin.com/company/q-par-antennas-usa
SRCCJ2YG6BN6,"AIR COST CONTROL US, LLC",http://www.aircostcontrol.com,https://linkedin.com/company/air-cost-control
SRDXEYT54JF8,"C & C SERVICES, LLC",,
SRFGXDGTHRU6,"MARCOM GROUP, INC",https://www.marcomgroup.com,https://linkedin.com/company/marcom-group
