subawardee_uei,subawardee_name,entity_url,company_linkedin_url
LYGTLK9BANL7,"ENFOCUS CONSULTING GROUP, LLC",http://www.enfocusgroupllc.com,https://linkedin.com/company/enfocus-consulting-group-llc
LYKSDHA54JA4,"MILDEF, INC.",www.MilDef.com,https://linkedin.com/company/mildef-group
LYL5EHEKNM37,"ULTIMATE SOLUTIONS, INC.",www.usinc-la.com,
LYLCUJLT4RD7,NEXTECH SOLUTIONS LLC,,
LYMKSJG6DLQ5,PATRIOT LLC,http://www.patriotllc.net,https://linkedin.com/company/patriot-llc
LYMMRYHULW63,CROWN CASTLE FIBER LLC,https://fiber.crowncastle.com,
LYREAG296M63,"LTM, INCORPORATED",http://www.kniferiver.com,https://linkedin.com/company/knife-river-corporation
LYRVK9NS4985,"EDGE AUTONOMY HUNTSVILLE, LLC",https://rdw.com,
LYS6LAXVKFJ9,"SYSTEMS TECHNOLOGY & RESEARCH, INC",http://www.star-hq.com,https://linkedin.com/company/systems-technology-and-research-llc
LYSJRZNLBFD5,AUSTIN MACHINE CO,www.austinmachine.net,https://linkedin.com/company/austin-machine
LYSTBJSGN458,ARCHARITHMS INC,http://www.arcarithm.com,https://linkedin.com/company/arcarithm
LYTNKR4UL633,HEINTGES CONSULTING ARCHITECTS & ENGINEERS P.C.,www.heintges.com,https://linkedin.com/company/heintgesconsulting
LYVLXMPUMAA5,"EXCELSIOR BLOWER SYSTEMS, INC.",http://www.excelsiorblower.com,https://linkedin.com/company/excelsior-blower-systems-inc.
LYVPVBLFBBX8,ALABAMA COMMERCIAL CONSTRUCTION LLC,www.alabamacommercialconstuction.com,
LYWQFR7MMKY5,HOOPER CORPORATION,hoopercorp.com,https://linkedin.com/company/hooper-corporation
LYXBWDHL4VR9,TD SYNNEX CORPORATION,http://www.tdsynnex.com,https://linkedin.com/company/tdsynnex
LYXLY2LCNNH3,CABLE ASSEMBLIES INC.,CABLEASSEMBLIESINC.COM,https://linkedin.com/company/cable-assemblies-inc
LYYPWA1RGQK5,"LEADERSHIP FOR THE GENERATIONS, LLC",https//leadershipforthegenerations.com,
LYYUWHKK7FB5,OPENSESAME INC,https://www.opensesame.com,https://linkedin.com/company/opensesame_2
LYZKZV48ES94,THE TIMKEN COMPANY,www.timken.com,https://linkedin.com/company/the-timken-company
LYZLGNHGSTS3,MICROTECH INC,http://www.microtech-inc.com,https://linkedin.com/company/microtech-inc
LYZZQ41ZHNB9,SENECA BALANCE OF MARYLAND LLC,https://integratesting.com/,https://linkedin.com/company/integra-testing-services
LZ53AT1DCF44,"CHEROKEE NATION OPERATIONAL SOLUTIONS, L.L.C.",www.cherokee-federal.com,https://linkedin.com/company/cherokee-federal
LZ6NB62ETQP6,CONCORDE BATTERY CORPORATION,https://concordebattery.com/,https://linkedin.com/company/concorde-battery-corporation
LZ73AQDCDPE5,"VALITYX, INC",ValityX.com,
LZ8CEUWMJNN7,"INDUSTRIAL PRODUCTS PLUS, INC.",http://www.ipp-usa.com,https://linkedin.com/company/installers-inc
LZ8NXEBM6ZV4,"FLIGHT TEST & MECHANICAL SOLUTIONS, INC",www.fmsaero.com,https://linkedin.com/company/fms-aerospace
LZA6C4U8VZX5,DERCON DESIGN & BUILD SRL,,
LZC4LL9AKFB6,"PROSYS INFORMATION SYSTEMS, INC",http://www.prosysis.com,https://linkedin.com/company/prosys
LZEYRG45ZGJ7,"MALKO COMMUNICATION SERVICES, LLC",https://www.malko.solutions/,https://linkedin.com/company/malko-communcation-services
LZGKVXN28BY5,FLASH PROFESSIONAL SERVICES LLC,www.flashprofessionalservices.com,
LZGRU1ZA1L65,CARPENTER TECHNOLOGY CORPORATION,www.carpentertechnology.com,https://linkedin.com/company/carpenter-technology
LZH3F561B6Y8,"CONTINENTAL BLOWER, LLC",,
LZJGFBLKFEW6,NETIMPACT STRATEGIES INC,http://www.netimpactstrategies.com,https://linkedin.com/company/netimpact-strategies-inc.
LZLMTUN95QK6,TRINITY OF UTAH INCORPORATED,www.TrinityCSI.com,https://linkedin.com/company/trinity-computer-solutions-inc.
LZMEJ3FGDE95,INFOSPAN GLOBAL LLC,,
LZNQL4SJ2C32,DYSOL INC,www.socomore.com,https://linkedin.com/company/socomore-the-surface-company
LZPMJJD1BG35,NCYBER LLC,www.ncyber.com,https://linkedin.com/company/ncyber-llc
LZS5N92JELB8,STATION HYPO PRIME LLC,,
LZSHEYAH2EJ8,NODE.DIGITAL LLC,www.nodeitx.com,
LZSNXN2JL9Y4,"HEUBEL MATERIAL HANDLING, INC.",http://www.raymond-central.com,https://linkedin.com/company/heubelshaw
LZT5MK73Z7M3,"SAGEGUILD, LLC",www.sageguild.com,https://linkedin.com/company/sageguild
LZTKZJL927B4,FREUDENBERG-NOK GENERAL PARTNERSHIP,,
LZVYDAU9MLF3,HOPLITE GROUP LLC,https://www.thehoplitegroup.com,https://linkedin.com/company/the-hoplite-group
LZXMCCPM7X88,BLM - GESELLSCHAFT FÜR BOHRLOCHMESSUNGEN MBH,,
LZYJC42JTNT9,GE AVIATION SYSTEMS LLC,http://www.ge.com,https://linkedin.com/company/ge
LZZWKDET29A7,MICROSEMI SOC CORP.,http://www.microsemi.com,https://linkedin.com/company/microsemi
M116R7UMF6K5,MANUFACTURING SCIENCES CORPORATION,mfgsci.com,https://linkedin.com/company/manufacturing-sciences-corporation
M125ET2M59Z3,CREATIVE BUILDS CORPORATION,https://www.creativebuildsusa.com,https://linkedin.com/company/jamie-partners-inc-dba-creative-builds
M13VJPL53MN4,REX HEAT TREAT LANSDALE INC,www.rexht.com,https://linkedin.com/company/rex-heat-treat
M14GE8PX53N5,FLUID SOLUTIONS LLC,,
M15UKUZVH6E7,ARCATA ASSOCIATES INC,,
M17AGS7FTKS8,"SERRANO'S, INC.",www.serranosinc.com,https://linkedin.com/company/serranos-inc
M187X3JK73X5,BLUELINE GLOBAL TECHNOLOGIES LLC,www.bluelineglobaltechnologies.com,
M18ESP2Q2GR5,"EUROFINS ENVIRONMENT TESTING AMERICA HOLDINGS, INC.",,
M1BVCGDKJ1L7,RAYTHEON COMPANY,https://www.rtx.com/,https://linkedin.com/company/raytheontechnologies
M1C8LAG3RLM5,ELECTRONIC SERVICES INCORPORATED,,
M1CJB5A82B85,"PRIME TIME COATINGS, INC",https://www.primetimecoatingsgov.com/,
M1CJN4NQVZ31,"RUSTY'S WEIGH SCALES & SERVICE, INC.",www.rustysweigh.com,https://linkedin.com/company/rusty-s-weigh-scales-service-inc
M1DKGJMKXCW6,TECHMAN SYSTEMS LLC,https://www.techmansystems.com,
M1EBUL5KNWL6,HENCHMAN CORP,,
M1G5TARMJJT4,"SINGLETON ELECTRIC COMPANY, INC.",,
M1GCZ32X34N3,ROOT INSTANCE LLC,https://www.rootinstance.com/,https://linkedin.com/company/root-instance
M1JYQN8G2N41,FEDERAL IDENTITY INC,,
M1KFHAL9J1M6,ICC COMMONWEALTH CORPORATION,http://www.icc-commonwealth.com,https://linkedin.com/company/icccommonwealth
M1KHJKBEDHQ3,GRAW RADIOSONDES GMBH & CO. KG,http://www.graw.de,https://linkedin.com/company/graw-radiosondes
M1L6TMXFNHE1,"BESTWAY INDUSTRIAL SUPPLY, INC.",http://www.bestwayco.com/,https://linkedin.com/company/bestway-industrial-supply-inc-
M1LHX84GJ4M1,"AEOLUS TECHNOLOGIES, INC.",https://www.aeolustec.com/,https://linkedin.com/company/aeolustec
M1LQD44NEJ56,"APPLIED COMPOSITE STRUCTURES, INC.",,
M1LVPE5GLSD9,"RUTGERS, THE STATE UNIVERSITY",,
M1NSMEJG5A23,BUSINESS CARD SERVICE INC,http://www.bcsinet.com,https://linkedin.com/company/bcsi---business-card-service-inc-
M1P4YFJ928R5,NOVO DR INC,www.novo-dr.com,
M1PXHLFNW547,"GREY MATTERS DEFENSE SOLUTIONS, LLC",www.greymattersdefense.com,https://linkedin.com/company/grey-matters-defense-solutions
M1REMNNG7NN1,ROGER LAMBERT CONSTRUCTION,,
M1SVUGX3E4N1,"WASHINGTON WORKPLACE, INC.",,
M1TEJL1TNCR9,"VCS DURABILITY, INC.",http://www.vcsdurability.com,
M1U3M3UVSHF5,MAVERICK AEROSPACE LLC,mavaero.com,https://linkedin.com/company/mavaero-llc
M1UUCPEKNTP3,FEMTOTEST LLC,http://femtotest.com/,https://linkedin.com/company/femtotest
M1UVKULWYZP9,RC CONSTRUCTION SERVICES INC,www.rcecm.com,https://linkedin.com/company/rc-engineering-and-construction-management
M1VER9WU2DL6,UNITED TEAM MECHANICAL LLC,,
M1YDV7K9UXT5,PHARMERICA LOGISTIC SERVICES LLC,,
